2201215,1387,2,Washington Statewide Domestic Violence Hotline,*Main Site - Washington Statewide Domestic Violence Hotline,762 Ballentine St,,Raymond,98577,http://wadvhotline.org,State Domestic Violence Hotline,NULL,State Domestic Violence Hotline,Provides shelter information and crisis intervention for victims of domestic violence and their children. Anyone affected by domestic violence can call for referrals to local programs.,Provides shelter information and crisis intervention for victims of domestic violence and their children. Anyone affected by domestic violence can call for referrals to local programs.,Provides shelter information and crisis intervention for men and women who are survivors of domestic violence and their children. Anyone affected by domestic violence can call for referrals to local programs.,@&,^Dating & Domestic Violence;^Don't Map This Resource
2201761,2401,1,"Open Adoption & Family Services, Inc.","*Main Site - Open Adoption & Family Services, Inc.",200 W Mercer St,Suite E-508,Seattle,98119,http://openadopt.org,Open Adoption Services and Support,NULL,Open Adoption Services and Support,"Facilitates open adoptions, which allow for some form of association among birth parents, adoptive parents and adoptees. Adoption services include free pre- and lifelong post-placement counseling for birthparents","Facilitates open adoptions, which allow for some form of association among birth parents, adoptive parents and adoptees. Adoption services include free pre- and lifelong post-placement counseling for birthparents.","Facilitates open adoptions, which allow for some form of association among birth parents, adoptive parents and adoptees. Adoption services include free pre- and lifelong post-placement counseling for birthparents. No age restrictions. Call for an appointment.",@&,^Birth Control/Family Planning/Pregnancy
2201933,2974,2,Navos - Seattle Children's Home,*Main Site - Navos - Seattle Children's Home,1033 SW 152nd Street,,Seattle,98166,http://seattlechildrenshome.org,Family Counseling and Support Center,http://www.seattlechildrenshome.org,Family Counseling and Support Center,"Provides individual and family therapy for children, ages 2-18. Services include mental health and psychiatric evaluations and consultations, ongoing medication management, individual and group therapy. Sliding scale fees. Accepts Medicaid.","Provides individual and family therapy for children, ages 2-18. Services include mental health and psychiatric evaluations and consultations, ongoing medication management, individual and group therapy.","Provides individual, group, and family therapy for youth ages 2-18 and their families. Works with children, families, schools and communities to address a range of concerns including social and behavioral skills, family transitions and divorce, anxiety disorders, ADHD, grief and loss, and childhood depression. Also provides ongoing medication management if necessary.",Individual & Family Counseling / Seattle Children's Home,^Counseling
2201940,2089,1,King County Sexual Assault Resource Center,*Main Site - King County Sexual Assault Resource Center,200 Mill Ave S,Suite 10,Renton,98057,http://kcsarc.org,Resource Line,NULL,Resource Line,"Hotline provides support and referrals for adult sexual assault victims in King County, and a first point of contact for adults who have just been sexually assaulted and for those who want to talk to someone about past sexual assaults.","  Hotline provides support and referrals for adult sexual assault victims in King County, and a first point of contact for adults who have just been sexually assaulted and for those who want to talk to someone about past sexual assaults.","Provides daily, 24-hour crisis intervention, support, information on sexual assaults and referrals. Good first point of contact for individuals who have just been sexually assaulted and for individuals who want to talk to someone about past sexual assaults. Callers may be referred to agency's own services.",&Sexual Assault Resource Line,^Don't Map This Resource;^Rape & Sexual Assault
2201942,2089,3,King County Sexual Assault Resource Center,*Main Site - King County Sexual Assault Resource Center,200 Mill Ave S,Suite 10,Renton,98057,http://kcsarc.org,Therapy,http://www.kcsarc.org/therapy,Therapy,Offers trauma-focused individual and group counseling for children and adults who have been sexually or physically assaulted. Also provides family services such as parent education and parent-child interaction training. No fees.,Offers trauma-focused individual and group counseling for children and adults who have been sexually or physically assaulted. Also provides family services such as parent education and parent-child interaction training.,"Offers trauma-focused counseling for youth who have been sexually or physically assaulted, parent education, and parent-child interaction training. Therapy can be related to a recent sexual assault or one that may have occurred in previous years. Medical forensic exams are scheduled through intake.",&Sexual Assault Mental Health & Advocacy Services,^Child Abuse;^Counseling;^Don't Map This Resource;^Rape & Sexual Assault
2202160,2312,3,SASG - Seattle Area Support Groups & Community Center,*Main Site - SASG - Seattle Area Support Groups & Community Center,303 17th Ave E,,Seattle,98112,http://sasgcc.org,Support Groups,NULL,Support Groups,"Provides emotional support to the greater King County LGBTQI community, including facilitating support groups for HIV/AIDS, LGBTQI and addiction recovery. Preregistration is required for some groups.","Provides emotional support to the greater King County LGBTQI community, including facilitating support groups for HIV/AIDS, LGBTQI and addiction recovery.",NULL,NULL,^GLBTQ;^STIs (including HIV/AIDS)
2203671,2831,1,Renton Area Youth & Family Services,*Main Site - Renton Area Youth & Family Services,1025 S 3rd St,,Renton,98055,http://rays.org,Child and Family Counseling,NULL,Child and Family Counseling,"Provides individual, family and group counseling for Renton youth, ages 4 through 18, and their families. Low-income payment options available.",Provides individual and family counseling for youth and their families.,"Provides individual, family and group counseling for Renton area youth, ages 4 through 18, and their families.",@&,^Counseling
2203672,2831,2,Renton Area Youth & Family Services,*Main Site - Renton Area Youth & Family Services,1025 S 3rd St,,Renton,98055,http://rays.org,Child Survivors of Abuse Counseling,NULL,Child Survivors of Abuse Counseling,"Provides counseling for sexually, physically or emotionally abused children, ages 4 through 18, and their families. Low-income payment options available.","Counseling for sexually, physically or emotionally abused children, ages 4 through 18, and their families.","Provides support, education and counseling for young victims ages 4 through 18 of physical, sexual and emotional abuse and their families.",@&,^Child Abuse
2203673,2831,3,Renton Area Youth & Family Services,*Main Site - Renton Area Youth & Family Services,1025 S 3rd St,,Renton,98055,http://rays.org,Substance Abuse Services,NULL,Substance Abuse Services,"Provides substance abuse assessment, individual and family counseling, outpatient treatment and aftercare services and support groups for youth, ages 12 through 20. Offers sliding scale fees.","Provides substance abuse assessment, individual and family counseling, outpatient treatment and aftercare services and support groups for youth, ages 12 through 20. Offers sliding scale fees.","Provides substance abuse assessment, individual and family counseling, aftercare services and support groups for Renton area youth ages 12-20. Offers sliding scale fees.",@&,^Alcohol & Drugs
2203674,2831,6,Renton Area Youth & Family Services,*Main Site - Renton Area Youth & Family Services,1025 S 3rd St,,Renton,98055,http://rays.org,Healthy Start,http://www.friendsofyouth.org,Healthy Start,NULL,In-home support program for young parents and their infants in East and North King County; serves parents 21 and younger parenting their first child.,"In-home support program for young parents and their infants in East and North King County. For pregnant or parenting women, ages 22 and younger, who are parenting their first child who is 6 months or younger at the time of enrollment.",&Healthy Start Parenting Program,^Birth Control/Family Planning/Pregnancy
2203873,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Children's Administration - Division of Children and Family Services - King East,805 156th Ave NE,,Bellevue,98007,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2203877,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Children's Administration - Division of Children and Family Services - King South,1313 W Meeker St,Suite 102,Kent,98032,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2203881,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Division of Children and Family Services - Office of Indian Child Welfare,4045 Delridge Way SW,Suite 300,Seattle,98106,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2203885,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Children's Administration - Division of Children and Family Services - Martin Luther King Jr. Office,3600 S Graham St,,Seattle,98118,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2203889,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Division of Children and Family Services - White Center,9650 15th Ave SW,Suite 200,Seattle,98106,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2203893,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Children's Administration - Division of Children and Family Services - King West,100 W Harrison St,"South Tower, Suite 100",Seattle,98119,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2203897,1557,4,DSHS - Children's Administration - Division of Children and Family Services,DSHS - Division of Children and Family Services - Sky Valley,953 Village Way,Suite 100,Monroe,98272,http://dshs.wa.gov/ca,Child Protective Services (CPS),http://www1.dshs.wa.gov/ca/safety/abuseHappens.asp?2,Child Protective Services (CPS),"Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Targeted services for Indian children are available at the Delridge Way office.","Provides 24-hour services including daily intake, screening and investigative services in response to reports of suspected child abuse and neglect. Service is toll-free and accepts collect calls; interpreters available in common non-English languages,",@,^Child Abuse;^Don't Map This Resource
2204063,2172,1,YouthCare,*Main Site - YouthCare,2500 NE 54th St,Suite 201,Seattle,98105,http://youthcare.org,Shelter and Support Services,http://www.youthcare.org,Shelter and Support Services,"Provides emergency shelter for up to 30 days for youth, ages 12-17, who want a long-term placement. Guardian notification is required within eight hours. Provides counseling and support services. Youth can self refer. Call to be screened.","Provides shelter for up to 30 days for youth, ages 12-17, who want a long-term placement and sexually exploited youth. Guardian notification is required within eight hours. Provides counseling and support services. Youth can self refer.","Provides shelter for up to 30 days for youth, ages 12-17, who want a long-term placement and sexually exploited youth. Provides counseling and support services. Youth can self refer. Guardian notification is required within eight hours. If the youth does not feel safe having the parents/guardian contacted, then Child Protective Services (CPS) will be called and consent may be obtained in that manner.",@&,"^Homelessness & Runaways, Shelters"
2204393,1390,1,DAWN - Domestic Abuse Women's Network,*Main Site - DAWN - Domestic Abuse Women's Network,PO Box 88007,,Tukwila,98138,http://dawnonline.org,24-Hour Crisis Line,NULL,24-Hour Crisis Line,"Crisis line provides domestic violence advocacy, safety planning, legal advocacy and support. Long distance callers may call collect.","Crisis line provides domestic violence advocacy, safety planning, legal advocacy and support. Long distance callers may call collect.",NULL,NULL,^Dating & Domestic Violence
2204394,1390,2,DAWN - Domestic Abuse Women's Network,*Main Site - DAWN - Domestic Abuse Women's Network,PO Box 88007,,Tukwila,98138,http://dawnonline.org,(BED BANK) Shelter,NULL,(BED BANK) Shelter,"Provides a confidential shelter for women or men, with or without children, who are fleeing domestic violence. Advocates work with clients to address immediate needs, as well as the transition to longer-term housing options.","Provides a confidential shelter for women or men, with or without children, who are fleeing domestic violence. Advocates work with clients to address immediate needs, as well as the transition to longer-term housing options.",NULL,NULL,^Dating & Domestic Violence
2206110,3201,2,Washington State Department of Health - HIV Early Intervention Program,*Main Site - Washington State Department of Health - HIV Early Intervention Program,111 Israel Rd,,Tumwater,98501,http://doh.wa.gov/hivcare,HIV/AIDS Recorded Information Line,http://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/HIVAIDS.aspx,HIV/AIDS Recorded Information Line,"Statewide toll-free line provides recorded information on HIV/AIDS. Provides recorded information on symptoms, modes of transmission and other sexually transmitted diseases.","Statewide toll-free line provides recorded information on HIV/AIDS. Provides recorded information on symptoms, modes of transmission and other sexually transmitted diseases.","Statewide toll-free line provides recorded information on HIV/AIDS. Provides recorded information on symptoms, modes of transmission and other sexually transmitted diseases.",@&,^Don't Map This Resource;^STIs (including HIV/AIDS)
2206234,3019,1,Public Health - Seattle & King County - Sexually Transmitted Disease Clinic,*Main Site - Public Health - Seattle & King County - Sexually Transmitted Disease Clinic,908 Jefferson St,11th Floor,Seattle,98104,http://www.kingcounty.gov/healthservices/health/communicable/std.aspx,STD Diagnosis and Treatment,http://www.kingcounty.gov/healthservices/health/communicable/hiv/resources/STDclinic.aspx,STD Diagnosis and Treatment,Offers diagnosis and treatment of patients with a sexually transmitted disease (STD) and their sexual contacts. Staff are sensitive to the needs of LGBTQI individuals. Call or walk in.,Offers diagnosis and treatment of patients with a sexually transmitted disease (STD) and their sexual contacts. Staff are sensitive to the needs of LGBTQI individuals.,Offers diagnosis and treatment of patients with a sexually transmitted disease (STD) and their sexual contacts. Staff are sensitive to the needs of gays and lesbians. Call or visit website for locations.,@Seattle/King County Public Health,^STIs (including HIV/AIDS)
2206236,3019,3,Public Health - Seattle & King County - Sexually Transmitted Disease Clinic,*Main Site - Public Health - Seattle & King County - Sexually Transmitted Disease Clinic,908 Jefferson St,11th Floor,Seattle,98104,http://www.kingcounty.gov/healthservices/health/communicable/std.aspx,HIV Testing,http://www.kingcounty.gov/healthservices/health/communicable/hiv/resources/STDclinic.aspx,HIV Testing,"Screens for presence of HIV virus antibody. Testing is confidential or anonymous. Notifies the sex partners of persons with HIV and other selected STDs. Walk in. Offers sliding scale fees. Accepts Medicare, Medicaid and insurance.",Screens for presence of HIV virus antibody. Testing is confidential or anonymous.,"Screens for presence of HIV virus antibody. Testing is confidential and anonymous. Notifies the sex partners of persons with HIV and other selected STDs, offers prevention counseling, and ensures the partners' examination and/or treatment. Call or visit website for locations.",@Seattle/King County Public Health,^STIs (including HIV/AIDS)
2206454,1435,1,Alcoholics Anonymous - King County,*Main Site - Alcoholics Anonymous - King County,5507 6th Ave S,,Seattle,98108,http://seattleaa.org,Recovery Services,http://www.aa.org/lang/en/meeting_finder.cfm?origpage=29,Recovery Services,"Helps alcoholics achieve sobriety through 12-step support groups throughout King County, including separate-sex meetings, as well as special groups for Native Americans, Spanish speakers and those who identify as LGBTQI.","Helps alcoholics achieve sobriety through 12-step support groups throughout King County, including separate-sex meetings, as well as special groups for Native Americans, Spanish speakers and those who identify as LGBTQI.","Helps alcoholics achieve sobriety through 12-step support groups throughout King County, including separate-sex meetings, as well as special groups for Native Americans, Spanish speakers and those who identify as LGBT. Call for times and locations.",Alcoholics Anonymous (King County),^Alcohol & Drugs
2206464,1431,1,Al-Anon/Alateen Information Service,*Main Site - Al-Anon/Alateen Information Service,1402 3rd Ave,Suite 803,Seattle,98101,http://seattle-al-anon.org,Al-Anon Family Groups,http://www.seattle-al-anon.org,Al-Anon Family Groups,Organizes general support groups of relatives and friends of alcoholics.,"Organizes support groups of relatives and friends of alcoholics who share their experiences, strengths, and hopes in order to solve their common problems and help others do the same.","Organizes support groups of relatives and friends of alcoholics who share their experiences, strengths, and hopes in order to solve their common problems and help others do the same.",Al-Anon Family Support Groups,^Alcohol & Drugs
2206465,1431,2,Al-Anon/Alateen Information Service,*Main Site - Al-Anon/Alateen Information Service,1402 3rd Ave,Suite 803,Seattle,98101,http://seattle-al-anon.org,Alateen Groups,http://www.seattle-al-anon.org/Alateen/Alateen.htm,Alateen Groups,Coordinates support groups for teenagers who have alcoholic friends or relatives; meetings are conducted by the teenagers themselves and guided by Al-Anon members and occasionally members of Alcoholics Anonymous.,Coordinates support groups for teenagers who have alcoholic friends or relatives; meetings are conducted by the teenagers themselves and guided by Al-Anon members and occasionally members of Alcoholics Anonymous.,Coordinates support groups for teenagers who have alcoholic friends or relatives; meetings are conducted by the teenagers themselves and guided by Al-Anon members and occasionally members of Alcoholics Anonymous. Call for times and locations.,Alateen Support Groups,^Alcohol & Drugs
2207426,3042,3,Learning Disabilities Association of Washington,*Main Site - Learning Disabilities Association of Washington,16315 NE 87th St,"Together Center, Suite B10",Redmond,98052,http://ldawa.org,Referral Services,NULL,Referral Services,Provides telephone crisis assistance information and referrals for children and adults with learning disabilities and attention deficit disorders.,Provides telephone crisis assistance information and referrals for children and adults with learning disabilities and attention deficit disorders.,Provides telephone crisis assistance information and referrals for individuals with learning disabilities and attention deficit disorders.,&Learning Disabilities Referral Services,^Don't Map This Resource;^Education;^People with Disabilities
2207982,1127,4,Seattle Children's - Mental Health Services,*Main Site - Seattle Children's - Mental Health Services,4800 Sand Point Way NE,,Seattle,98105,http://seattlechildrens.org,Outpatient Child and Adolescent Psychiatry Program,http://www.seattlechildrens.org/clinics-programs/psychiatry-and-behavioral-medicine/,Outpatient Child and Adolescent Psychiatry Program,"Provides evaluation and treatment services for children and adolescents, ages 1-18. Services include comprehensive psychiatric assessment, medication evaluation and management, and therapy services.","Provides outpatient evaluation and treatment services for children and adolescents, ages 1 through 18, including youth with self-harm behaviors.","Provides outpatient evaluation and treatment services for children and adolescents, ages 18 and younger, including youth with self-harm behaviors. Services include comprehensive psychiatric assessment, medication evaluation and management, short-term and long-term therapy, and psychological testing.",&Outpatient Mental Health Services,^Counseling
2207985,1127,7,Seattle Children's - Mental Health Services,*Main Site - Seattle Children's - Mental Health Services,4800 Sand Point Way NE,,Seattle,98105,http://seattlechildrens.org,Eating Disorders Program,http://www.seattlechildrens.org/clinics-programs/eating-disorders/,Eating Disorders Program,"Offers an inpatient eating disorders multidisciplinary program for children, ages 17 and younger. Aims to restore physical health and engage in therapy to address underlying issues. Accepts Medicaid and insurance.","Offers an inpatient eating disorders multidisciplinary program for children, ages 17 and younger. Aims to restore physical health and engage in therapy to address underlying issues.","Offers an inpatient eating disorders multidisciplinary program for youth, and aims to restore physical health and engage in therapy to address underlying issues. Program is for youth ages 17 and under, who meet medical and psychiatric criteria for admission to an acute inpatient psychiatric unit.",@&,^Eating Disorders
2207987,1127,4,Seattle Children's - Mental Health Services,Seattle Children's - Odessa Brown Clinic,2101 E Yesler Way,,Seattle,98122,http://seattlechildrens.org,Outpatient Child and Adolescent Psychiatry Program,http://www.seattlechildrens.org/clinics-programs/psychiatry-and-behavioral-medicine/,Outpatient Child and Adolescent Psychiatry Program,"Provides evaluation and treatment services for children and adolescents, ages 1-18. Services include comprehensive psychiatric assessment, medication evaluation and management, and therapy services.","Provides outpatient evaluation and treatment services for children and adolescents, ages 1 through 18, including youth with self-harm behaviors.","Provides outpatient evaluation and treatment services for children and adolescents, ages 18 and younger, including youth with self-harm behaviors. Services include comprehensive psychiatric assessment, medication evaluation and management, short-term and long-term therapy, and psychological testing.",&Outpatient Mental Health Services,^Counseling
2207988,1127,4,Seattle Children's - Mental Health Services,Seattle Children's - Overlake Medical Tower,1135 116th Ave NE,Suite 400,Bellevue,98004,http://seattlechildrens.org,Outpatient Child and Adolescent Psychiatry Program,http://www.seattlechildrens.org/clinics-programs/psychiatry-and-behavioral-medicine/,Outpatient Child and Adolescent Psychiatry Program,"Provides evaluation and treatment services for children and adolescents, ages 1-18. Services include comprehensive psychiatric assessment, medication evaluation and management, and therapy services.","Provides outpatient evaluation and treatment services for children and adolescents, ages 1 through 18, including youth with self-harm behaviors.","Provides outpatient evaluation and treatment services for children and adolescents, ages 18 and younger, including youth with self-harm behaviors. Services include comprehensive psychiatric assessment, medication evaluation and management, short-term and long-term therapy, and psychological testing.",&Outpatient Mental Health Services,^Counseling
2208387,6377,7,Neighborcare Health,Neighborcare Health - 45th Street Medical & Dental Clinic,1629 N 45th St,,Seattle,98103,http://neighborcare.org,Homeless Youth Clinic,http://www.neighborcare.org/clinics/45th-street-youth-homeless-clinic,Homeless Youth Clinic,"Offers confidential medical care, including mental health counseling, alternative medicine, family planning and anonymous HIV testing for youth, 12-23, who are currently homeless or were homeless in the last 12 months. No fees.","Offers confidential medical care, including mental health counseling, alternative medicine, family planning and anonymous HIV testing for youth, ages 12 through 23, who are currently homeless or were homeless in the last 12 months.","Homeless Youth Clinic serves youth, ages 12 through 23, who are currently homeless or have been homeless at some point in the last 12 months. Offers confidential medical care, including mental health counseling, alternative medicine, family planning and anonymous HIV testing.",@45th Street Clinic,"^Counseling;^Homelessness & Runaways, Other Helpful Services;^STIs (including HIV/AIDS)"
2208416,1255,18,Lifelong AIDS Alliance,*Main Site - Lifelong AIDS Alliance,1016 E Pike St,3rd Fl,Seattle,98122,http://llaa.org,HEYO (Health Education Youth Outreach),http://lifelongaidsalliance.org/services/youth-program-and-activities,HEYO (Health Education Youth Outreach),"Provides outreach, safer sex education, social activities and opportunities for leadership development as peer educators for queer and allied youth, ages 16 through 24.","Provides outreach, safer sex education, social activities and opportunities for leadership development as peer educators for queer and allied youth ages 16 through 24.","Provides street and community outreach, referrals, condoms, safer sex education, and HIV/STD and drug/alcohol education and prevention. Organizes community activities such as dances, social gatherings, movie nights, art programs and peer driven media projects. Provides mentoring to young gay, bi and questioning youth ages 16-24 and their friends.",&GLBTQ Youth Program,^GLBTQ;^STIs (including HIV/AIDS)
2208825,1593,1,Navos - Ruth Dykeman Children's Center,*Main Site - Navos - Ruth Dykeman Children's Center,1033 SW 152nd St,,Burien,98166,http://navos.org/outpatient-programs/children-youth-families,Counseling,NULL,Counseling,"Provides short and long-term individual and family sessions and short-term crisis resolution counseling. Also offers group counseling. Serves youth, ages birth-20, and their families residing in Southwest Seattle.","Individual and family counseling and short-term crisis resolution counseling for youth and parents; offers goal, subject and age specific group counseling.","Provides short and long-term individual and family sessions and short-term crisis resolution counseling. In addition to on-site, service is offered in the home and at school. Additionally offers group counseling with subjects like: juvenile justice,; school and alcohol/drug related problems; anger management and conflict resolution; parenting groups; and queer, queer friendly and questioning youth groups. For youth, ages birth through 20, and their families residing in Southwest Seattle, Highline School District and adjacent areas.",@&,^Counseling
2208826,1593,2,Navos - Ruth Dykeman Children's Center,*Main Site - Navos - Ruth Dykeman Children's Center,1033 SW 152nd St,,Burien,98166,http://navos.org/outpatient-programs/children-youth-families,Youth Outpatient Drug Treatment Program,NULL,Youth Outpatient Drug Treatment Program,"Provides substance abuse treatment groups for youth, ages 12-20; ongoing support and aftercare is provided. Offers sliding scale fees; accepts Medicaid and insurance.","Provides substance abuse treatment groups for youth, ages 12-20; ongoing support and aftercare is provided. Offers sliding scale fees; accepts Medicaid and insurance.","Provides substance abuse treatment groups for youth, ages 12-20; ongoing support and aftercare is provided. Programs are for youth, ages 12 through 20, residing in southwest Seattle, Highline School District and adjacent areas who have been assessed with problems of drug or alcohol abuse by a qualified chemical dependency counselor or professional.",@&,^Alcohol & Drugs
2208828,1593,4,Navos - Ruth Dykeman Children's Center,*Main Site - Navos - Ruth Dykeman Children's Center,1033 SW 152nd St,,Burien,98166,http://navos.org/outpatient-programs/children-youth-families,Anger Management Classes,NULL,Anger Management Classes,"Provides classes on Aggression Replacement Training, which teaches youth social learning, anger control and moral reasoning. Offers classes in the community for youth, ages 12-18, in South King County. Sliding scale fees. Accepts Medicaid.","Provides classes on Aggression Replacement Training, which teaches youth social learning, anger control and moral reasoning. Offers classes in the community for youth, ages 12-18, in South King County.","Provides classes on Aggression Replacement Training, which teaches youth social learning, anger control and moral reasoning. Classes are offered in the community for youth ages 12 through 18.",@&,^At-Risk Youth;^Counseling
2208950,1800,1,Northshore Youth & Family Services,*Main Site - Northshore Youth & Family Services,10309 NE 185th St,,Bothell,98011,NULL,Counseling,NULL,Counseling,"Conducts individual, group and family therapy. Primarily serves North and East King County residents. Low-income payment options available.","Conducts individual, group and family therapy. Primarily serves North and East King County residents. Low-income payment options available.","Provides individual, group and family therapy. Primarily serves North and East King County residents. Low-income payment options available.",& Youth & Family Counseling,^Counseling
2208952,1800,4,Northshore Youth & Family Services,*Main Site - Northshore Youth & Family Services,10309 NE 185th St,,Bothell,98011,NULL,Young Parents Support Group,NULL,Young Parents Support Group,"Coordinates a support group to help young parents age 22 and under, to make friends, gain support from other young parents & deal with issues of child raising. First child must be under 6 months of age at time of enrollment.","Coordinates a support group to enable young parents to make friends, gain support from other young parents and deal with issues of child raising.","Coordinates a support group to enable young parents to make friends, gain support from other young parents and deal with issues of child raising. For young parents, age 22 and under, pregnant or with their first child under 6 months of age at time of enrollment.",@&,^Birth Control/Family Planning/Pregnancy;^Counseling
2208953,1800,5,Northshore Youth & Family Services,*Main Site - Northshore Youth & Family Services,10309 NE 185th St,,Bothell,98011,NULL,Substance Abuse Prevention and Treatment,NULL,Substance Abuse Prevention and Treatment,"Offers substance abuse prevention for adolescents, ages 14-18, experiencing difficulties related to drugs or alcohol; includes assessments, counseling and support groups. Offers sliding scale fees; accepts Medicaid.","Offers substance abuse prevention for adolescents experiencing difficulties related to drugs or alcohol; includes assessments, counseling and support groups. Offers sliding scale fees; accepts Medicaid. SERVES YOUTH AGES 14-18.","Offers substance abuse prevention for adolescents experiencing difficulties related to drugs or alcohol; includes assessments, counseling and support groups. Offers sliding scale fees; accepts Medicaid. Serves youth ages 14-18 and their families.",@&,^Alcohol & Drugs
2209446,2986,10,"Hearing, Speech & Deafness Center","*Main Site - Hearing, Speech & Deafness Center",1625 19th Ave,Artz Communication Center,Seattle,98122,http://hsdc.org,Information and Referral,NULL,Information and Referral,NULL,"Provides information to people who are deaf, hard-of-hearing and deaf-blind; makes referrals to agencies and organizations for services.","Provides information to people who are deaf, hard of hearing and deaf-blind; makes referrals to agencies and organizations for services.",&Disability Information & Referral,^People with Disabilities
2209452,2986,10,"Hearing, Speech & Deafness Center","Hearing, Speech & Deafness Center - North Sound",114 West Magnolia St,Suite 106,Bellingham,98225,http://hsdc.org,Information and Referral,NULL,Information and Referral,NULL,"Provides information to people who are deaf, hard-of-hearing and deaf-blind; makes referrals to agencies and organizations for services.","Provides information to people who are deaf, hard of hearing and deaf-blind; makes referrals to agencies and organizations for services.",&Disability Information & Referral,^People with Disabilities
